geoid,total_pop,no_car
01001020100,1809,60
01001020200,2020,201
01001020300,3543,149
01001020400,4840,29
01001020500,9938,284
01001020600,3402,28
01001020700,2664,274
01001020801,2860,126
01001020802,10416,103
01001020900,5481,142
01001021000,2884,190
01001021100,3298,191
01003010100,3556,11
01003010200,2612,56
01003010300,7443,303
01003010400,4689,106
01003010500,4230,128
01003010600,3724,386
01003010701,8949,123
01003010703,12220,156
01003010704,5163,42
01003010705,7612,252
01003010800,7294,0
01003010903,5120,160
01003010904,6625,138
01003010905,6656,89
01003010906,4230,42
01003011000,3758,156
01003011101,8926,158
01003011102,3651,20
01003011201,4594,128
01003011202,4495,166
01003011300,3929,54
01003011401,9647,212
01003011403,7654,96
01003011405,3963,103
01003011406,3317,20
01003011407,5187,0
01003011408,674,0
01003011501,4793,184
01003011502,9234,599
01003011601,6396,128
01003011602,5450,17
01003990000,0,0
01005950100,3526,97
01005950200,3859,359
01005950300,1919,117
01005950400,4219,191
01005950500,3407,43
01005950600,1989,198
01005950700,1753,21
01005950800,2193,119
01005950900,4834,729
01007010001,3008,102
01007010002,6265,105
01007010003,5040,96
01007010004,8297,423
01009050101,7444,158
01009050102,6895,90
01009050200,3934,56
01009050300,5272,113
01009050400,4505,107
01009050500,7218,200
01009050601,3385,26
01009050602,8912,84
01009050700,9127,104
01011952100,1652,73
01011952200,5980,815
01011952500,3291,138
01013952700,2419,240
01013952800,1673,31
01013952900,2004,243
01013953000,1280,80
01013953100,2855,354
01013953200,4318,394
01013953300,1958,0
01013953400,2719,193
01013953500,1669,89
01015000200,3134,95
01015000300,3074,461
01015000400,3103,201
01015000500,1731,184
01015000600,2571,303
01015000700,2796,239
01015000800,1003,48
01015000900,3249,219
01015001000,5807,25
01015001100,6441,131
01015001201,3165,335
01015001202,4104,167
01015001300,2517,165
01015001400,3335,102
01015001500,5140,171
01015001600,3579,138
01015001700,6633,104
01015001800,6373,73
01015002000,7282,91
01015002101,3872,155
01015002102,2846,66
01015002103,6848,568
01015002200,3898,111
01015002300,3882,300
01015002400,4563,11
01015002501,7343,149
01015002502,4324,43
01015002600,4444,79
01015981901,26,0
01015981902,66,0
01015981903,0,0
01017953800,3645,127
01017953900,3327,264
